Month,2016,2017,2018,2019,2020
1,1947728.883,2264801.026,2573637.53,2848747.36,3202056.491
2,2232275.231,2595668.874,2949623.72,4136655.05,4208977.816
3,1524108.69,1772219.407,2013885.69,2329021.08,2421246.793
4,1881804.496,2188144.763,2486528.14,2774930.7,2931127.368
5,3702776.152,4305553.666,4892674.62,3625950.71,3756125.278
6,3945313.154,4587573.434,5213151.63,5749555.14,7511286.276
7,2969723.416,3453166.763,3924053.14,4750924.27,5351577.258
8,2897591.999,3369293.022,3828742.07,4255648.31,4492118.941
9,2974114.862,3458273.095,3929855.79,4890955.36,5163694.554
10,3047619.72,3543743.861,4026981.66,4552939.7,4954689.195
11,2426536.543,2821554.12,3206311.5,3797629,3851746.287
12,2084601.385,2423955.098,2754494.43,3452776.66,3733663.177
